device_id,slave,sensor_name,addr,count,scale,offset,unit,type,min,max,enabled
DEV_1,4,Presion2,4,1,1,0,Mpa,float,0,450,1
DEV_10,5,Presion2,4,1,1,0,Mpa,float,0,450,1


